Object_ID	Epoch	Mag	Filter	Survey
V2492_Cyg	2455438.40646	15.055	V	AAVSO_Johnson
V2492_Cyg	2455438.40787	15.050	V	AAVSO_Johnson
V2492_Cyg	2455438.40787	15.053	V	AAVSO_Johnson
V2492_Cyg	2455438.40929	15.019	V	AAVSO_Johnson
V2492_Cyg	2455438.41071	15.020	V	AAVSO_Johnson
V2492_Cyg	2455438.41072	15.120	V	AAVSO_Johnson
V2492_Cyg	2455438.41213	15.016	V	AAVSO_Johnson
V2492_Cyg	2455438.41355	15.042	V	AAVSO_Johnson
V2492_Cyg	2455438.41356	14.996	V	AAVSO_Johnson
V2492_Cyg	2455438.41497	15.013	V	AAVSO_Johnson
V2492_Cyg	2455438.41639	15.010	V	AAVSO_Johnson
V2492_Cyg	2455438.41640	15.104	V	AAVSO_Johnson
V2492_Cyg	2455438.41780	15.032	V	AAVSO_Johnson
V2492_Cyg	2455438.41922	15.032	V	AAVSO_Johnson
V2492_Cyg	2455438.41925	15.051	V	AAVSO_Johnson
V2492_Cyg	2455438.42064	15.016	V	AAVSO_Johnson
V2492_Cyg	2455438.42206	15.004	V	AAVSO_Johnson
V2492_Cyg	2455438.42209	15.043	V	AAVSO_Johnson
V2492_Cyg	2455438.42347	15.001	V	AAVSO_Johnson
V2492_Cyg	2455438.42490	15.023	V	AAVSO_Johnson
V2492_Cyg	2455438.42493	15.011	V	AAVSO_Johnson
V2492_Cyg	2455438.42631	15.015	V	AAVSO_Johnson
V2492_Cyg	2455438.42773	15.025	V	AAVSO_Johnson
V2492_Cyg	2455438.42778	15.074	V	AAVSO_Johnson
V2492_Cyg	2455438.42914	15.024	V	AAVSO_Johnson
V2492_Cyg	2455438.43057	15.045	V	AAVSO_Johnson
V2492_Cyg	2455438.43063	15.051	V	AAVSO_Johnson
V2492_Cyg	2455438.43199	14.976	V	AAVSO_Johnson
V2492_Cyg	2455438.43340	15.028	V	AAVSO_Johnson
V2492_Cyg	2455438.43346	15.105	V	AAVSO_Johnson
V2492_Cyg	2455438.43483	15.022	V	AAVSO_Johnson
V2492_Cyg	2455438.43624	15.038	V	AAVSO_Johnson
V2492_Cyg	2455438.43631	15.025	V	AAVSO_Johnson
V2492_Cyg	2455438.43766	15.000	V	AAVSO_Johnson
V2492_Cyg	2455438.43907	15.010	V	AAVSO_Johnson
V2492_Cyg	2455438.43916	15.031	V	AAVSO_Johnson
V2492_Cyg	2455438.44050	14.976	V	AAVSO_Johnson
V2492_Cyg	2455438.44191	15.034	V	AAVSO_Johnson
V2492_Cyg	2455438.44199	15.024	V	AAVSO_Johnson
V2492_Cyg	2455438.44333	15.014	V	AAVSO_Johnson
V2492_Cyg	2455438.44475	15.023	V	AAVSO_Johnson
V2492_Cyg	2455438.44484	15.035	V	AAVSO_Johnson
V2492_Cyg	2455438.44617	15.023	V	AAVSO_Johnson
V2492_Cyg	2455438.44758	14.995	V	AAVSO_Johnson
V2492_Cyg	2455438.44769	14.985	V	AAVSO_Johnson
V2492_Cyg	2455438.44900	15.022	V	AAVSO_Johnson
V2492_Cyg	2455438.45042	15.015	V	AAVSO_Johnson
V2492_Cyg	2455438.45052	14.969	V	AAVSO_Johnson
V2492_Cyg	2455438.45184	15.011	V	AAVSO_Johnson
V2492_Cyg	2455438.45325	15.034	V	AAVSO_Johnson
V2492_Cyg	2455438.45337	15.031	V	AAVSO_Johnson
V2492_Cyg	2455438.45468	15.007	V	AAVSO_Johnson
V2492_Cyg	2455438.45609	15.030	V	AAVSO_Johnson
V2492_Cyg	2455438.45622	15.067	V	AAVSO_Johnson
V2492_Cyg	2455438.45751	15.068	V	AAVSO_Johnson
V2492_Cyg	2455438.45892	14.995	V	AAVSO_Johnson
V2492_Cyg	2455438.45906	15.039	V	AAVSO_Johnson
V2492_Cyg	2455438.46035	14.976	V	AAVSO_Johnson
V2492_Cyg	2455438.46176	15.023	V	AAVSO_Johnson
V2492_Cyg	2455438.46190	15.054	V	AAVSO_Johnson
V2492_Cyg	2455438.46318	15.011	V	AAVSO_Johnson
V2492_Cyg	2455438.46461	15.023	V	AAVSO_Johnson
V2492_Cyg	2455438.46475	15.036	V	AAVSO_Johnson
V2492_Cyg	2455438.46602	15.038	V	AAVSO_Johnson
V2492_Cyg	2455438.46759	14.998	V	AAVSO_Johnson
V2492_Cyg	2455438.47043	14.931	V	AAVSO_Johnson
V2492_Cyg	2455438.47328	15.009	V	AAVSO_Johnson
V2492_Cyg	2455438.47612	14.996	V	AAVSO_Johnson
V2492_Cyg	2455438.47736	15.019	V	AAVSO_Johnson
V2492_Cyg	2455438.47878	14.981	V	AAVSO_Johnson
V2492_Cyg	2455438.47896	15.122	V	AAVSO_Johnson
V2492_Cyg	2455438.48020	14.994	V	AAVSO_Johnson
V2492_Cyg	2455438.48162	14.926	V	AAVSO_Johnson
V2492_Cyg	2455438.48181	15.037	V	AAVSO_Johnson
V2492_Cyg	2455438.48303	15.002	V	AAVSO_Johnson
V2492_Cyg	2455438.48465	15.068	V	AAVSO_Johnson
V2492_Cyg	2455438.48729	14.954	V	AAVSO_Johnson
V2492_Cyg	2455438.48749	15.104	V	AAVSO_Johnson
V2492_Cyg	2455438.48870	15.026	V	AAVSO_Johnson
V2492_Cyg	2455438.49013	14.976	V	AAVSO_Johnson
V2492_Cyg	2455438.49034	15.091	V	AAVSO_Johnson
V2492_Cyg	2455438.49154	14.992	V	AAVSO_Johnson
V2492_Cyg	2455438.49296	14.992	V	AAVSO_Johnson
V2492_Cyg	2455438.49318	15.053	V	AAVSO_Johnson
V2492_Cyg	2455438.49439	14.976	V	AAVSO_Johnson
V2492_Cyg	2455438.49580	14.988	V	AAVSO_Johnson
V2492_Cyg	2455438.49602	15.013	V	AAVSO_Johnson
V2492_Cyg	2455438.49722	15.035	V	AAVSO_Johnson
V2492_Cyg	2455438.49863	14.997	V	AAVSO_Johnson
V2492_Cyg	2455438.49887	14.998	V	AAVSO_Johnson
V2492_Cyg	2455438.50006	14.996	V	AAVSO_Johnson
V2492_Cyg	2455438.50147	14.979	V	AAVSO_Johnson
V2492_Cyg	2455438.50171	15.027	V	AAVSO_Johnson
V2492_Cyg	2455438.50289	14.967	V	AAVSO_Johnson
V2492_Cyg	2455438.50431	15.008	V	AAVSO_Johnson
V2492_Cyg	2455438.50456	15.046	V	AAVSO_Johnson
V2492_Cyg	2455438.50573	14.999	V	AAVSO_Johnson
V2492_Cyg	2455438.50714	15.000	V	AAVSO_Johnson
V2492_Cyg	2455438.50740	14.951	V	AAVSO_Johnson
V2492_Cyg	2455438.50856	14.984	V	AAVSO_Johnson
V2492_Cyg	2455438.50998	14.995	V	AAVSO_Johnson
V2492_Cyg	2455438.51024	15.065	V	AAVSO_Johnson
V2492_Cyg	2455438.51140	14.974	V	AAVSO_Johnson
V2492_Cyg	2455438.51281	15.015	V	AAVSO_Johnson
V2492_Cyg	2455438.51424	15.032	V	AAVSO_Johnson
V2492_Cyg	2455438.51565	15.011	V	AAVSO_Johnson
V2492_Cyg	2455438.51707	14.994	V	AAVSO_Johnson
V2492_Cyg	2455438.51848	14.971	V	AAVSO_Johnson
V2492_Cyg	2455438.51991	14.976	V	AAVSO_Johnson
V2492_Cyg	2455438.52132	15.004	V	AAVSO_Johnson
V2492_Cyg	2455438.52274	14.964	V	AAVSO_Johnson
V2492_Cyg	2455438.52416	15.015	V	AAVSO_Johnson
V2492_Cyg	2455438.52558	14.974	V	AAVSO_Johnson
V2492_Cyg	2455438.52699	15.004	V	AAVSO_Johnson
V2492_Cyg	2455438.52841	15.025	V	AAVSO_Johnson
